frame,u,v,type
3,466.27527236938477,137.3216147104899,real
4,466.27527236938477,137.74453137715656,predicted
5,466.27527236938477,138.54807304382325,predicted
6,466.27527236938477,139.69417721048993,predicted
7,466.27527236938477,141.1485876271566,predicted
8,466.27527236938477,142.88047366882324,predicted
9,469.7088871002197,90.95642386542426,real
10,469.7078346252442,90.92195519341362,real
11,470.35650364112854,82.28568165017,predicted
12,853.292456817627,502.6124008178711,real
13,853.3930870056153,502.6071350097656,real
14,853.084881591797,502.2301651000977,real
15,852.3006179809571,502.064963277181,real
16,852.314979171753,502.0152994791667,real
17,852.279345543923,500.477010640341,predicted
18,852.247275278876,499.51546735206455,predicted
19,852.2184120403338,499.0729950592824,predicted
20,852.1924351256457,499.0976866624451,predicted
21,852.1690559024265,499.54282577195823,predicted
22,852.1480146015292,500.36636763718667,predicted
23,852.1290774307217,501.530471982559,predicted
45,664.7383396148682,361.75600916544596,real
46,664.7122653961181,361.7048826429579,real
47,678.9378566741943,362.9746651543511,real
48,695.8629104614258,368.0128389146593,real
49,713.2284759521484,374.6267627292209,real
50,732.4984439849853,381.125836859809,real
51,750.3220058441162,389.4917948404948,real
52,750.3819290161133,389.45486534966363,real
53,770.4120895385743,401.9085703531901,real
54,769.0985668182374,384.3575631035699,real
55,756.4550491333008,357.18537377251516,real
56,758.6270974948998,349.80704663905334,predicted
57,760.5819410203388,343.5894688856044,predicted
58,762.341300193234,338.4165655741669,predicted
59,724.2660865783691,291.5713655683729,real
60,714.8015525817872,276.30965118408204,real
61,706.3147338867187,263.9309237162272,real
62,698.6251140594483,254.8083241780599,real
63,691.0395195007325,243.20909118652344,real
64,691.0223403930664,243.25521863301594,real
65,684.4307235717773,237.22419052124025,real
66,677.6867694854736,230.34270858764648,real
67,671.4795776367188,226.62396392822265,real
68,771.2236835479737,456.3531026204427,real
69,765.5499963790168,450.8622259781559,predicted
70,760.4436779269555,446.34335366676436,predicted
71,847.4597763061523,523.1120885213217,real
72,756.048556137085,440.7029144287109,real
73,523.205375289917,187.9528500874837,real
74,518.6096886830619,184.30878167389804,predicted
75,514.4735707368923,181.45203676833756,predicted
76,510.7510645853396,179.30388301999986,predicted
77,775.2800239562988,533.8226389567058,real
78,771.9297684199015,532.3122172498685,predicted
79,768.9145384371438,531.3757543803815,predicted
80,766.2008314526619,530.95585446451,predicted
81,763.7584951666282,531.0008612068923,predicted
82,761.5603925091979,531.464283941703,predicted
83,617.1920017242431,179.76899269951716,real
84,615.2137093325559,180.60898982751345,predicted
85,724.5832210540772,529.5401947021485,real
86,722.8027579015585,530.7191087840117,predicted
87,721.2003410642918,532.2030481243554,predicted
88,719.7581659107518,533.9615101973314,predicted
89,603.774201965332,152.31270785861545,real
90,571.038427734375,124.8836727142334,real
91,571.5484027862549,123.35266482035318,real
