frame,u,v,type
17,651.927739906311,290.08731069211603,real
18,656.0220648765564,309.0556989881727,real
19,659.7069573497772,326.54460956573485,predicted
20,658.8878170967103,327.44664094713,real
21,660.9881314865112,339.1255641950819,predicted
22,662.8784144373321,350.0539562293498,predicted
23,664.5796690930711,360.30687017130197,predicted
24,666.1107982832359,369.95185383017,predicted
25,667.4888145543845,379.0497002342624,predicted
26,496.4162327289581,488.3571299235026,real
27,507.2422718524933,487.132761976454,real
28,153.292622145017,227.97535536024304,real
29,153.21044373512268,227.9627204047309,real
30,155.84208213437586,232.15741480006628,predicted
31,158.21055669370367,236.35000086697923,predicted
32,160.34218379709873,240.540689438312,predicted
33,631.3978009223938,494.3218139083297,real
34,633.3162653154493,498.5107947336403,predicted
35,706.0919860839844,393.44392152009186,real
36,711.3057996749878,404.5670298823604,real
37,713.9221619121837,410.62668817122966,predicted
38,714.3631117820739,416.09360769766346,real
39,718.2705664634705,429.4642097190574,real
40,722.1414218902588,445.41366729736325,real
41,724.7910704806844,455.25831570378153,predicted
42,674.6708633422852,384.73881078649447,real
43,662.8076860268854,372.3180340659816,predicted
44,649.0937953948975,354.34766698766634,real
45,626.8262243906656,330.8771162810149,real
46,697.1757687886555,423.67568486531576,real
47,683.339938091976,408.8820353740832,predicted
48,569.8810975233714,274.5191179911296,real
49,557.4288498963598,261.6221945601314,predicted
50,554.5886070251465,261.18460371229384,real
51,696.56985912323,440.95067494710287,real
52,687.958077542985,433.1248247677689,predicted
53,514.0727224349976,234.77703721788194,real
54,506.32211901277714,228.15113316759258,predicted
55,499.34657593277876,222.60518063344324,predicted
56,531.9939195632935,176.70313045360425,real
57,536.4141102031334,161.23298791964473,predicted
58,467.57382822036743,218.74552035861544,real
59,451.7716721881198,224.94507543185415,predicted
60,437.5497317590969,230.94203610888013,predicted
61,424.74998537297637,236.7566618293146,predicted
62,413.23021362546785,242.4071860888167,predicted
63,402.86241905271015,247.91001903347973,predicted
64,147.27611417770385,228.42142533196343,real
65,137.94509906222194,233.79133609327127,predicted
66,147.12046539783478,228.296374935574,real
67,417.58984899520874,190.87423502604167,real
68,412.5254738648732,182.71876183969002,real
69,409.16518993377684,175.5553704155816,real
70,404.83244307835895,170.30325376722547,real
71,398.94643677075703,164.32778591579861,real
72,394.7753111362457,160.44959331088594,real
73,394.78351793289187,160.3375345018175,real
74,391.85550959904987,156.13037452697753,real
75,393.4654350280762,153.59583471792715,real
76,391.96790992488906,151.2346328801382,predicted
77,396.51488016446433,149.98987955164026,real
78,396.79912131414176,148.5836001062499,predicted
79,397.05493834885146,147.73530971650968,predicted
80,397.28517368009017,147.3892094768546,predicted
81,437.6847767829895,136.7986378563775,real
82,612.9253041585287,441.94771558973525,real
83,623.9782452549919,439.2875792123348,predicted
84,633.9258922418088,437.31081758378554,predicted
85,642.878774529944,435.9490932292023,predicted
86,650.9363685892658,435.1409024211885,predicted
87,658.1882032426554,434.83089180508716,predicted
88,664.7148544307059,434.96924336170713,predicted
89,670.5888404999514,435.5111208737761,predicted
96,418.0218017578125,256.5223730581778,real
97,418.0225663661957,256.46881035698783,real
98,144.73519733349482,228.3392726474338,real
99,148.43601500138294,229.08355466182712,predicted
100,422.2663977622986,306.1269876268175,real
101,425.5971336633979,307.2142025508826,predicted
102,428.5947959743873,308.61005709365224,predicted
103,431.2926920542778,310.2836872932561,predicted
104,433.7207985261792,312.20731558401064,predicted
105,435.90609435089044,314.3559421568009,predicted
106,427.3094658056895,409.07426155938043,real
107,428.01360216140745,404.6589729591652,real
108,428.68113926251726,400.14819194652415,real
109,428.681462097168,400.2054398430718,real
110,429.71801619529725,397.26394068400066,real
111,430.3318268140157,395.7345846105505,real
112,431.04435687065126,394.8368914003725,real
113,431.5739246368408,394.8959054734972,real
114,432.0913096427917,396.3409775627984,real
115,432.0029209136963,396.4888269212511,real
116,433.1535036087036,398.1276519775391,real
117,433.68251066207887,401.66722267998585,real
118,434.23977219550864,403.308803394568,predicted
119,467.0969164848328,351.6900127834744,real
120,483.8673270225525,328.093231398971,real
121,483.76191301345824,328.06565187242296,real
122,496.9103226661682,309.39276699490017,real
123,509.0345648765564,292.6934315999349,real
124,519.4564320087433,278.96697896321615,real
125,528.9287917227198,266.3507514759808,predicted
126,537.4539154652987,255.41350784858008,predicted
127,545.1265268336197,245.98734969503056,predicted
128,552.0318770651086,237.9211684679471,predicted
129,558.2466922734486,231.0789664746831,predicted
130,563.8400259609546,225.33834579185665,predicted
131,477.06190462112426,488.7536026000976,real
132,482.09590493987963,484.0044050966649,predicted
133,486.62650522675955,480.1474884546866,predicted
134,490.7040454849514,477.0936245880172,predicted
135,494.3738317173241,474.7625082191258,predicted
136,408.2155803044637,487.5322575321904,real
137,437.0802773952484,136.72489149305557,real
138,440.3830850043838,135.04424787216445,predicted
139,443.3556118526057,133.94902972447358,predicted
140,446.0308860160054,133.3806945026629,predicted
141,448.43863276306513,133.28655391414438,predicted
142,437.0507635116577,136.8391028298272,real
143,435.4929192644253,138.156343577406,predicted
144,594.2559802055359,169.9011598940249,real
145,594.1378567059835,169.9714163603606,real
146,596.1420481999716,165.08669840494792,real
147,597.5572193781535,161.42937127572517,real
148,597.7915633519491,158.49344236585827,real
149,599.6356628417968,156.541800265842,real
150,600.3073942497603,155.1448936400811,predicted
151,600.9119525169273,154.3050387880074,predicted
152,602.8963607788086,152.43493025037978,real
153,603.8130227178317,151.81825349952499,predicted
154,604.6380184629526,151.68060553486683,predicted
155,605.3805146335613,151.97408347778557,predicted
156,606.0487611871092,152.65557473752352,predicted
157,606.6501830853024,153.68627798239885,predicted
158,607.1914627936761,155.0312720138977,predicted
159,568.473062690099,170.12358775668673,real
160,561.9155942916871,176.4608585781521,real
161,556.0069725672404,183.90795909740305,real
162,548.2169318866117,189.9456945642636,predicted
163,541.2058952740458,195.79701759554916,predicted
164,541.6193875948588,201.05951211717394,real
165,533.8359631061554,210.73979856703016,real
166,524.8832654953003,224.07100126478406,real
167,517.6209131240845,235.5365356021457,real
168,511.4615496977703,244.60166220301411,predicted
169,505.9181226140875,253.17763725490676,predicted
170,500.92903823877293,261.31337591272126,predicted
171,419.22101354599,458.8247555202908,real
172,414.7308376082069,466.5642814234349,predicted
173,631.0918556213379,134.9439911171242,real
174,631.0050300916035,134.9298871782091,real
175,631.0036028226217,134.92186296251086,real
176,460.7614733695984,488.77877061631943,real
177,456.7846941947937,486.8807251824273,real
178,434.1495334625244,397.12335982146084,real
179,427.9431562423706,385.28202896118165,real
180,419.7635796546936,384.82161729600693,real
181,419.9074789524078,384.7551479198314,real
182,412.2556350708008,385.54252302381724,real
183,404.83404026031496,386.98725546377676,real
184,397.0593153158824,390.5972015098289,real
185,391.4557679542569,392.01351901307675,predicted
186,379.98955210049945,397.31865819295246,real
187,380.1990547974904,397.27069970590094,real
188,371.9381918430328,404.33328320538556,real
189,363.30516850153606,410.6839616846155,real
190,357.16790950816124,414.9418503474095,predicted
191,363.670379447937,384.5514941745334,real
192,371.98140071233115,352.140948232015,real
193,371.8815938313802,352.1270905388726,real
194,380.3767667770386,323.88995191786023,real
195,383.0271415303902,310.49838754507203,predicted
196,385.41247880840666,298.86334072067376,predicted
197,398.11615702311195,261.7134886847602,real
198,403.0489126262328,244.77031024680372,predicted
199,407.48839266904156,229.938810763754,predicted
200,552.0055220286051,171.60447586907281,real
201,556.0010540671329,158.67348744543918,predicted
202,559.597032901808,147.45295897528,predicted
203,562.8334138530156,137.7718444632479,predicted
204,565.7461567091024,129.47620251353007,predicted
205,568.3676252795805,122.42748586989516,predicted
206,436.6888488769531,135.706351047092,real
207,436.64062757492064,135.6989042352747,real
208,438.27913302277307,131.67356322170514,predicted
209,439.75378792584024,128.46811742060365,predicted
210,441.08097733860075,126.00057731072341,predicted
211,442.27544781008515,124.19715232294233,predicted
212,443.35047123442115,122.99143094505045,predicted
213,423.38498584429425,196.52044680560076,real
214,423.7142601966858,197.11485862731934,real
215,420.50377286322964,211.05797180028813,predicted
216,417.61433426311913,224.0241347670712,predicted
217,415.0138395230197,236.11104254828703,predicted
218,412.6733942569303,247.40662066249243,predicted
219,410.56699351744976,257.99000207638835,predicted
220,403.2043029785156,416.7930645695439,real
221,401.30854231298315,426.7354689531614,predicted
222,392.7908975124359,490.7154851277669,real
223,392.87279556592307,490.86364017062715,real
224,455.6141297340393,383.5348557648835,real
225,456.04562373161315,383.5140012953016,real
226,456.60669336318966,383.2498899671766,real
227,455.65209563453953,391.6852438982996,predicted
228,454.7929576787544,399.69442354742125,predicted
229,454.0197335185478,407.32004634274193,predicted
230,453.32383177436185,414.6004679696416,predicted
231,452.6975202045945,421.5702085449625,predicted
232,469.42581167221067,152.52613458986636,real
233,476.09798831939696,155.7529137222855,real
234,481.7598624229431,159.34018817477755,real
235,484.27340641495135,164.40963023780523,predicted
236,486.85918865203854,164.61030623824507,real
237,495.2122803688049,168.47110030562789,real
238,500.8756836891174,173.23839299237287,real
239,518.3237411499024,418.2784190707736,real
240,524.5025924682617,417.64575424194334,real
241,524.5279774665833,417.6203145062482,real
242,531.3492527484893,415.4604673597548,real
243,538.714521408081,412.69667273627385,real
244,535.0361773808797,203.47481802481192,real
245,437.89193468093873,136.1953187306722,real
246,437.7750005722046,135.6507504498517,real
247,441.1510703564533,135.67605802226265,predicted
248,437.36675066947936,136.06704591115314,real
249,565.0810729980469,237.20753394232855,real
250,572.2091431458791,246.15822813245984,real
251,574.9073324398094,249.07733402533995,predicted
252,588.0957853317261,268.0503519270155,real
253,588.0955134709676,268.09597532484264,real
254,596.8395069758097,279.0344842698839,real
255,604.6780002593994,290.77420902958625,real
256,613.1394964536031,303.53646511501734,real
257,619.3254848630944,312.74134981126696,predicted
258,630.6390035629272,331.9855958726671,real
259,630.6477710723877,332.00648430718314,real
260,635.516414222796,340.12600195226435,predicted
261,646.545406627655,355.94542843853986,real
262,652.0650975545248,352.50766762627495,real
263,656.6088083585104,351.7274761058666,real
264,661.1777342478434,350.88033970020433,real
265,661.225751654307,350.8210878725405,real
266,666.4462258338929,350.38896899753144,real
267,671.3033920923868,350.8013542457863,real
268,677.0171236356099,351.98165269074616,real
269,681.4249720255534,353.734888627794,real
270,686.1395133336385,357.46299867983214,real
271,690.3678980233924,359.66296844779345,predicted
272,691.3611429214477,359.4858652468081,real
273,698.7567750295003,366.5278659961842,real
274,702.8060366325884,369.7832814723115,predicted
275,679.4122169176737,398.34492566144024,real
276,675.6469204045923,408.52484245357635,predicted
277,672.258153542819,418.10412867760994,predicted
278,663.9478594462076,411.1608972902651,real
279,640.36489016215,319.90820871988933,real
280,625.4546868642171,308.59798753526474,real
281,609.4376024881999,299.53706015127676,real
282,594.8665454864501,291.507019466824,real
283,594.8759246826172,291.39243876139324,real
284,582.57279809316,282.3628015730116,real
285,568.5725807189941,275.2086910671658,real
286,555.1921379089356,268.4063978407118,real
287,543.4005513191223,263.6224368625217,real
288,532.9429393410066,259.0084682856147,predicted
289,523.5310885607026,255.27325767750958,predicted
290,515.060422858429,252.32892924132602,predicted
291,507.4368237263826,250.09639475987197,predicted
292,496.66184193293253,248.61587982177733,real
293,463.1858936309814,164.18514168350785,real
294,647.5846963246663,340.3641677291305,real
295,639.8725837872456,338.97529308364,predicted
296,672.6191641807557,403.48686006334094,real
297,676.6021099884283,420.4473532323123,predicted
298,680.1867612153337,436.1291581954976,predicted
299,683.4129473195485,450.6601437734755,predicted
300,686.3165148133418,464.1553919047667,predicted
301,688.9297255577559,476.71847633403996,predicted
302,691.2816152277286,488.44261343149697,predicted
303,693.3983159307039,499.41169793031935,predicted
332,308.84918174743655,225.1880739847819,real
333,305.77557498613993,222.04247953626844,real
334,302.50420651435854,218.70654559665255,real
335,301.97349035910463,222.466053457279,predicted
336,301.49584581937614,226.26697164295393,predicted
337,301.0659657336205,230.10515912117248,predicted
