frame,u,v
4,531.6943054199219,691.4617614746094
5,532.544677734375,695.1074523925781
6,534.3535766601562,698.6171264648438
7,934.79296875,415.6808776855469
8,564.6106567382812,698.6534729003906
9,904.462646484375,524.8595581054688
10,584.4054565429688,696.4095458984375
11,880.400146484375,535.6901550292969
12,871.8923950195312,541.3274841308594
13,859.4380814208985,566.6055122070312
14,843.85400390625,573.9070129394531
15,832.2295532226562,593.0436401367188
16,820.3933548493652,601.9390388198242
17,806.9769287109375,642.6312866210938
18,855.8556015706363,625.6168527858428
19,1005.8606567382812,270.3506774902344
20,824.5465698242188,560.1706237792969
21,841.585693359375,516.4342346191406
22,833.802157922785,507.06219347184356
23,866.9005737304688,445.264892578125
24,876.48486328125,416.7671813964844
25,887.1553344726562,392.3879699707031
26,897.4423828125,372.7869567871094
27,907.6392211914062,354.3603973388672
28,915.1630859375,342.3765106201172
29,922.7080078125,329.3891143798828
30,930.8641662597656,321.1516418457031
31,795.5722045898438,620.1728515625
32,801.2956237792969,629.0823059082031
33,812.4601135253906,632.1629333496094
34,824.037353515625,632.1294250488281
35,833.5878295898438,632.2013854980469
36,814.3271149291992,694.189234741211
37,851.1089172363281,628.928466796875
38,860.4204711914062,627.158935546875
39,868.3361206054688,626.392822265625
40,876.3510131835938,626.6566467285156
41,885.5040893554688,627.135986328125
42,893.9705200195312,629.994140625
43,901.8667602539062,635.2046203613281
44,910.1116333007812,638.0753784179688
45,916.3660888671875,639.4298706054688
46,920.3256225585938,638.58251953125
47,923.4702758789062,635.2792053222656
48,925.3069152832031,627.9471130371094
49,927.1536254882812,624.6535949707031
50,928.3694458007812,621.5765380859375
51,929.6321411132812,621.2254638671875
52,930.719970703125,622.0076904296875
53,931.6279907226562,625.0734558105469
54,932.578125,628.0823669433594
55,933.4004516601562,636.2457580566406
56,933.4620666503906,643.1074523925781
57,930.5842895507812,650.5025634765625
58,930.5574246826172,656.5445483398438
59,915.0318603515625,660.4505615234375
60,900.5330200195312,660.2435302734375
61,884.9798583984375,658.9664001464844
62,867.2718200683594,658.7799682617188
63,849.8032836914062,659.3594055175781
64,834.4319458007812,659.9284057617188
65,751.4899291992188,371.6948547363281
66,731.420166015625,400.04736328125
67,710.8722534179688,430.17723083496094
68,774.0397338867188,652.1176147460938
69,757.3126220703125,648.6700744628906
70,741.104736328125,644.8301696777344
71,724.4888305664062,643.1177978515625
72,706.3177185058594,644.1415405273438
73,689.0620422363281,646.9505004882812
74,668.748291015625,649.2181091308594
75,648.5929565429688,650.3601684570312
76,627.5592651367188,649.7117309570312
77,605.5551452636719,648.11572265625
78,586.4367370605469,646.9303894042969
79,560.7098083496094,644.6282958984375
80,545.408203125,643.428955078125
81,524.9776219482421,642.4565748291016
82,504.7513465832519,641.8939183825684
83,414.2331848144531,618.828369140625
84,399.2021484375,635.8641357421875
85,366.3943126611841,634.1422587989233
86,333.9145552426313,632.8376006250918
87,427.5856018066406,642.4903564453125
88,579.0926818847656,502.9423828125
89,627.75146484375,471.8204040527344
90,678.5150756835938,441.46563720703125
91,721.9685363769531,416.6913757324219
92,761.4114379882812,395.35926818847656
93,798.2435302734375,377.8729553222656
94,841.6353982543945,353.5092086791992
95,327.41015625,665.4729919433594
96,326.2484436035156,665.0270690917969
97,330.208740234375,666.3720703125
98,336.17926025390625,666.7080078125
99,345.75384521484375,668.2044677734375
100,356.77471923828125,668.843994140625
101,368.29078674316406,667.7633361816406
102,379.1439208984375,668.0347595214844
103,388.8330866699219,668.7639719848632
104,398.4253607836914,669.8858923236083
105,402.6533508300781,657.7232360839844
106,407.12681579589844,652.8993225097656
107,414.6309814453125,649.1728820800781
108,422.26879626502443,645.3114775972693
109,429.83023293653923,641.8886871592886
110,447.8544158935547,641.9900207519531
111,457.9078063964844,644.6900024414062
112,470.0411682128906,645.5127563476562
113,483.49237060546875,645.4092407226562
114,496.66429138183594,644.6729736328125
115,509.89743495400467,645.6242623545702
116,529.1326904296875,639.9906616210938
117,540.0869445800781,641.5174255371094
118,556.5360107421875,645.4042358398438
119,571.0418271356989,645.5943936123889
120,593.5091857910156,656.3530883789062
121,606.4013671875,661.0319213867188
122,621.2879638671875,665.9284057617188
123,633.2780151367188,667.3411560058594
124,644.327880859375,662.1065368652344
125,658.8385194966629,665.7759412292978
126,661.9177856445312,649.29150390625
